sr_pair_names,group,name1_column,name2_column,score1_column,score2_column
BSRGAN_SeeSR,mad,03056_BSRGAN.png,03056_SeeSR.png,0.391304347826087,0.608695652173913
BSRGAN_SeeSR,mad,03073_BSRGAN.png,03073_SeeSR.png,0.173913043478261,0.826086956521739
BSRGAN_SeeSR,mad,03115_BSRGAN.png,03115_SeeSR.png,0,1
BSRGAN_SeeSR,mad,04687_BSRGAN.png,04687_SeeSR.png,0.0434782608695652,0.956521739130435
BSRGAN_SeeSR,mad,45077_BSRGAN.png,45077_SeeSR.png,0,1
BSRGAN_SeeSR,mad,lakesea_40_BSRGAN.png,lakesea_40_SeeSR.png,0,1
BSRGAN_SinSR,mad,01315_BSRGAN.png,01315_SinSR.png,0.0869565217391304,0.91304347826087
BSRGAN_SinSR,mad,01450_BSRGAN.png,01450_SinSR.png,0.347826086956522,0.652173913043478
BSRGAN_SinSR,mad,01541_BSRGAN.png,01541_SinSR.png,0.130434782608696,0.869565217391304
BSRGAN_SinSR,mad,03073_BSRGAN.png,03073_SinSR.png,0.347826086956522,0.652173913043478
BSRGAN_SinSR,mad,03115_BSRGAN.png,03115_SinSR.png,0.521739130434783,0.478260869565217
BSRGAN_SinSR,mad,04687_BSRGAN.png,04687_SinSR.png,0.173913043478261,0.826086956521739
BSRGAN_SinSR,mad,134008_BSRGAN.png,134008_SinSR.png,0,1
BSRGAN_SinSR,mad,lakesea_40_BSRGAN.png,lakesea_40_SinSR.png,0,1
BSRGAN_StableSR,mad,01450_BSRGAN.png,01450_StableSR.png,0.478260869565217,0.521739130434783
BSRGAN_StableSR,mad,02365_BSRGAN.png,02365_StableSR.png,0.0869565217391304,0.91304347826087
BSRGAN_StableSR,mad,03056_BSRGAN.png,03056_StableSR.png,0.260869565217391,0.739130434782609
BSRGAN_StableSR,mad,03073_BSRGAN.png,03073_StableSR.png,0.304347826086957,0.695652173913043
BSRGAN_StableSR,mad,0649_BSRGAN.png,0649_StableSR.png,0.521739130434783,0.478260869565217
BSRGAN_StableSR,mad,134008_BSRGAN.png,134008_StableSR.png,0,1
BSRGAN_StableSR,mad,138032_BSRGAN.png,138032_StableSR.png,0.130434782608696,0.869565217391304
BSRGAN_StableSR,mad,lakesea_40_BSRGAN.png,lakesea_40_StableSR.png,0,1
BSRGAN_USRGAN,mad,01450_BSRGAN.png,01450_USRGAN.png,0.173913043478261,0.826086956521739
BSRGAN_USRGAN,mad,04687_BSRGAN.png,04687_USRGAN.png,0.0434782608695652,0.956521739130435
BSRGAN_USRGAN,mad,0604_BSRGAN.png,0604_USRGAN.png,0.0869565217391304,0.91304347826087
BSRGAN_USRGAN,mad,134008_BSRGAN.png,134008_USRGAN.png,0.478260869565217,0.521739130434783
BSRGAN_USRGAN,mad,326038_BSRGAN.png,326038_USRGAN.png,1,0
BSRGAN_USRGAN,mad,65019_BSRGAN.png,65019_USRGAN.png,0.956521739130435,0.0434782608695652
BSRGAN_USRGAN,mad,lakesea_40_BSRGAN.png,lakesea_40_USRGAN.png,0,1
BSRGAN_USRGAN,mad,plant_14_BSRGAN.png,plant_14_USRGAN.png,1,0
DASR_DiffBIR,mad,00642_DASR.png,00642_DiffBIR.png,0,1
DASR_DiffBIR,mad,01084_DASR.png,01084_DiffBIR.png,0.608695652173913,0.391304347826087
DASR_DiffBIR,mad,01541_DASR.png,01541_DiffBIR.png,0.434782608695652,0.565217391304348
DASR_DiffBIR,mad,02365_DASR.png,02365_DiffBIR.png,0.478260869565217,0.521739130434783
DASR_DiffBIR,mad,03073_DASR.png,03073_DiffBIR.png,0.521739130434783,0.478260869565217
DASR_DiffBIR,mad,100080_DASR.png,100080_DiffBIR.png,0,1
DASR_DiffBIR,mad,grass_72_DASR.png,grass_72_DiffBIR.png,0.826086956521739,0.173913043478261
DASR_DiffBIR,mad,water_299_DASR.png,water_299_DiffBIR.png,0.521739130434783,0.478260869565217
DASR_Real-ESRGAN,mad,01315_DASR.png,01315_Real-ESRGAN.png,1,0
DASR_Real-ESRGAN,mad,01450_DASR.png,01450_Real-ESRGAN.png,0.173913043478261,0.826086956521739
DASR_Real-ESRGAN,mad,01541_DASR.png,01541_Real-ESRGAN.png,0.782608695652174,0.217391304347826
DASR_Real-ESRGAN,mad,03056_DASR.png,03056_Real-ESRGAN.png,0.826086956521739,0.173913043478261
DASR_Real-ESRGAN,mad,03073_DASR.png,03073_Real-ESRGAN.png,0.391304347826087,0.608695652173913
DASR_Real-ESRGAN,mad,03115_DASR.png,03115_Real-ESRGAN.png,0.608695652173913,0.391304347826087
DASR_Real-ESRGAN,mad,0649_DASR.png,0649_Real-ESRGAN.png,0.347826086956522,0.652173913043478
DASR_Real-ESRGAN,mad,100080_DASR.png,100080_Real-ESRGAN.png,0.0869565217391304,0.91304347826087
DASR_SeeSR,mad,00642_DASR.png,00642_SeeSR.png,0.0434782608695652,0.956521739130435
DASR_SeeSR,mad,01450_DASR.png,01450_SeeSR.png,0.173913043478261,0.826086956521739
DASR_SeeSR,mad,100080_DASR.png,100080_SeeSR.png,0.0434782608695652,0.956521739130435
DASR_SeeSR,mad,138032_DASR.png,138032_SeeSR.png,0.0869565217391304,0.91304347826087
DASR_SeeSR,mad,196073_DASR.png,196073_SeeSR.png,0.782608695652174,0.217391304347826
DASR_SeeSR,mad,45077_DASR.png,45077_SeeSR.png,0,1
DASR_SeeSR,mad,65019_DASR.png,65019_SeeSR.png,0,1
